,aggr_answer,assessors_answer,cnt,least_common,query,some_answer
21,COMMERCIAL,COMMERCIAL,20,NOT_COMMERCIAL,3d стекло на айфон 6s,COMMERCIAL
22,COMMERCIAL,COMMERCIAL,40,NOT_COMMERCIAL,3dr solo and vr,COMMERCIAL
23,COMMERCIAL,COMMERCIAL,61,NOT_COMMERCIAL,3g флешка,COMMERCIAL
24,NOT_COMMERCIAL,COMMERCIAL,60,COMMERCIAL,451 градус по фаренгейту,NOT_COMMERCIAL
25,COMMERCIAL,COMMERCIAL,15,NOT_COMMERCIAL,51 Роза,COMMERCIAL
26,NOT_COMMERCIAL,COMMERCIAL,10,COMMERCIAL,5172002000 Hyundai,NOT_COMMERCIAL
27,COMMERCIAL,COMMERCIAL,10,NOT_COMMERCIAL,55*110 Решетка вентиляционная,COMMERCIAL
28,COMMERCIAL,COMMERCIAL,40,NOT_COMMERCIAL,55x110 решетка вентиляционная,COMMERCIAL
29,COMMERCIAL,COMMERCIAL,35,NOT_COMMERCIAL,577517 бюстгальтер полупоролон (zebra),COMMERCIAL
30,COMMERCIAL,COMMERCIAL,55,NOT_COMMERCIAL,"6,5 мм grendel впо 128",COMMERCIAL
31,COMMERCIAL,COMMERCIAL,10,NOT_COMMERCIAL,64906 кровать надувная двуспальная со встроенным насосом 220в 152х203х46см intex,COMMERCIAL
32,NOT_COMMERCIAL,COMMERCIAL,48,COMMERCIAL,65115-2803020,NOT_COMMERCIAL
33,COMMERCIAL,COMMERCIAL,50,NOT_COMMERCIAL,7 айфон водонепроницаемый,COMMERCIAL
34,COMMERCIAL,COMMERCIAL,15,NOT_COMMERCIAL,80см розы букет 51 роза,COMMERCIAL
35,COMMERCIAL,COMMERCIAL,60,NOT_COMMERCIAL,81d200lpru,COMMERCIAL
36,NOT_COMMERCIAL,COMMERCIAL,204,COMMERCIAL,8250a246,COMMERCIAL
37,COMMERCIAL,COMMERCIAL,360,NOT_COMMERCIAL,90810ju00b nissan,NOT_COMMERCIAL
38,NOT_COMMERCIAL,COMMERCIAL,25,COMMERCIAL,9786170705136,COMMERCIAL
39,COMMERCIAL,COMMERCIAL,25,COMMERCIAL,A530f Samsung,COMMERCIAL
40,COMMERCIAL,COMMERCIAL,15,NOT_COMMERCIAL,ABB sh202l,NOT_COMMERCIAL
41,COMMERCIAL,COMMERCIAL,5,COMMERCIAL,AEROCOOL Cylon Black,COMMERCIAL
42,COMMERCIAL,COMMERCIAL,30,NOT_COMMERCIAL,AEROCOOL p7-c1 Pro,NOT_COMMERCIAL
43,COMMERCIAL,COMMERCIAL,10,NOT_COMMERCIAL,AGT 605 глянец,NOT_COMMERCIAL
44,COMMERCIAL,COMMERCIAL,19,NOT_COMMERCIAL,AGT 735,COMMERCIAL
45,COMMERCIAL,COMMERCIAL,25,NOT_COMMERCIAL,AGT 735 Soft Touch,COMMERCIAL
46,NOT_COMMERCIAL,COMMERCIAL,281,COMMERCIAL,AMD 290x,COMMERCIAL
47,COMMERCIAL,COMMERCIAL,15,NOT_COMMERCIAL,AMD RX 290x,NOT_COMMERCIAL
48,NOT_COMMERCIAL,COMMERCIAL,5,COMMERCIAL,ANTPLANET,COMMERCIAL
49,COMMERCIAL,COMMERCIAL,10,NOT_COMMERCIAL,ASICS TARTHERZEAL 6 Black,NOT_COMMERCIAL
50,COMMERCIAL,COMMERCIAL,15,NOT_COMMERCIAL,ASUS RT-n10,COMMERCIAL
51,COMMERCIAL,COMMERCIAL,10,NOT_COMMERCIAL,ASUS VIVOBOOK x507ua-bq670,COMMERCIAL
52,COMMERCIAL,COMMERCIAL,10,COMMERCIAL,ASUS ZENBOOK,COMMERCIAL
53,COMMERCIAL,COMMERCIAL,10,COMMERCIAL,ASUS ZENBOOK 14,COMMERCIAL
54,COMMERCIAL,COMMERCIAL,15,COMMERCIAL,ASUS ZENBOOK 14 ux433fa,COMMERCIAL
55,COMMERCIAL,COMMERCIAL,20,NOT_COMMERCIAL,ASUS ZENBOOK 14 ux433fa-a5093t,COMMERCIAL
56,COMMERCIAL,COMMERCIAL,10,NOT_COMMERCIAL,ASUS ZENBOOK 15,COMMERCIAL
57,COMMERCIAL,COMMERCIAL,10,COMMERCIAL,ASUS ZENBOOK ux310,COMMERCIAL
58,COMMERCIAL,COMMERCIAL,15,NOT_COMMERCIAL,ASUS ZENBOOK ux310uq,COMMERCIAL
59,COMMERCIAL,COMMERCIAL,17,NOT_COMMERCIAL,ASUS ZENBOOK ux331ua,COMMERCIAL
60,COMMERCIAL,COMMERCIAL,5,COMMERCIAL,ASUS ZENBOOK ux410ua,COMMERCIAL
61,COMMERCIAL,COMMERCIAL,42,NOT_COMMERCIAL,ASUS ZENBOOK ux430ua,COMMERCIAL
62,COMMERCIAL,COMMERCIAL,679,NOT_COMMERCIAL,ASUS ZENBOOK ux434,COMMERCIAL
63,COMMERCIAL,COMMERCIAL,30,NOT_COMMERCIAL,ASUS Zenfone 500kl,COMMERCIAL
64,COMMERCIAL,COMMERCIAL,36,NOT_COMMERCIAL,ASUS Zenfone go,COMMERCIAL
65,COMMERCIAL,COMMERCIAL,25,NOT_COMMERCIAL,ASUS k501ux,COMMERCIAL
66,COMMERCIAL,COMMERCIAL,5,COMMERCIAL,ASUS x507ub,COMMERCIAL
67,COMMERCIAL,COMMERCIAL,10,NOT_COMMERCIAL,ASUS игровой,COMMERCIAL
68,COMMERCIAL,COMMERCIAL,5,NOT_COMMERCIAL,ATX AEROCOOL Cylon,COMMERCIAL
69,COMMERCIAL,COMMERCIAL,5,COMMERCIAL,Absolut Joy p834576 мужские джинсы,COMMERCIAL
70,COMMERCIAL,COMMERCIAL,5,COMMERCIAL,Absolut Joy джинсы,COMMERCIAL
71,COMMERCIAL,COMMERCIAL,15,COMMERCIAL,Apple 5,COMMERCIAL
72,COMMERCIAL,COMMERCIAL,5,COMMERCIAL,Apple iphone 5,COMMERCIAL
73,COMMERCIAL,COMMERCIAL,45,NOT_COMMERCIAL,Apple x,NOT_COMMERCIAL
74,COMMERCIAL,COMMERCIAL,277,NOT_COMMERCIAL,Aquarelle Lilac плитка,COMMERCIAL
75,COMMERCIAL,COMMERCIAL,5,COMMERCIAL,Armadillo ручки Silvia,COMMERCIAL
76,COMMERCIAL,COMMERCIAL,20,NOT_COMMERCIAL,Avent для стерилизации,NOT_COMMERCIAL
77,COMMERCIAL,COMMERCIAL,10,NOT_COMMERCIAL,BDI Vertica 8558 Walnut,COMMERCIAL
78,COMMERCIAL,COMMERCIAL,10,NOT_COMMERCIAL,BESTWELD полуавтомат Master 182,COMMERCIAL
79,COMMERCIAL,COMMERCIAL,15,NOT_COMMERCIAL,Baby Jogger City Elite Anniversary,COMMERCIAL
80,COMMERCIAL,COMMERCIAL,10,COMMERCIAL,Baby Jogger City Elite черный,COMMERCIAL
81,COMMERCIAL,COMMERCIAL,23,NOT_COMMERCIAL,Beta кран гидравлический,COMMERCIAL
82,COMMERCIAL,COMMERCIAL,10,COMMERCIAL,Bialcon женская польская одежда,COMMERCIAL
83,COMMERCIAL,COMMERCIAL,15,NOT_COMMERCIAL,Bluetooth гарнитура на ухе,COMMERCIAL
84,COMMERCIAL,COMMERCIAL,220,NOT_COMMERCIAL,Bluetooth-гарнитура Xiaomi mi Bluetooth Headset,COMMERCIAL
85,NOT_COMMERCIAL,COMMERCIAL,5,COMMERCIAL,Bueno батончик,NOT_COMMERCIAL
86,COMMERCIAL,COMMERCIAL,19,NOT_COMMERCIAL,CARFITNESS TS-342b,COMMERCIAL
87,COMMERCIAL,COMMERCIAL,10,COMMERCIAL,CF Carbon Беговая дорожка,COMMERCIAL
88,COMMERCIAL,COMMERCIAL,15,NOT_COMMERCIAL,CND Vinylux Splash of Teal #247,COMMERCIAL
89,COMMERCIAL,COMMERCIAL,10,NOT_COMMERCIAL,CND Vinylux Wildfire,COMMERCIAL
90,COMMERCIAL,COMMERCIAL,20,COMMERCIAL,Casio b640wb-3b,COMMERCIAL
91,COMMERCIAL,COMMERCIAL,5,NOT_COMMERCIAL,Casio collection b640wb-1b,COMMERCIAL
92,COMMERCIAL,COMMERCIAL,10,COMMERCIAL,Casio w-800h-1a,COMMERCIAL
93,COMMERCIAL,COMMERCIAL,80,NOT_COMMERCIAL,Choker на шею,COMMERCIAL
94,COMMERCIAL,COMMERCIAL,10,NOT_COMMERCIAL,Cooler Bottle,COMMERCIAL
95,COMMERCIAL,COMMERCIAL,20,NOT_COMMERCIAL,Daikin erq100av,COMMERCIAL
96,COMMERCIAL,COMMERCIAL,15,NOT_COMMERCIAL,Daikin ftxs20k,NOT_COMMERCIAL
97,COMMERCIAL,COMMERCIAL,30,NOT_COMMERCIAL,Daikin ftxs35,COMMERCIAL
98,COMMERCIAL,COMMERCIAL,5,COMMERCIAL,Defender клавиатура с подсветкой,COMMERCIAL
99,COMMERCIAL,COMMERCIAL,5,COMMERCIAL,Dell Inspiron 5721,COMMERCIAL
100,COMMERCIAL,COMMERCIAL,30,NOT_COMMERCIAL,Dell i7 3537u Radeon,COMMERCIAL
101,COMMERCIAL,COMMERCIAL,20,NOT_COMMERCIAL,Elari nanopods Black,NOT_COMMERCIAL
102,COMMERCIAL,COMMERCIAL,1023,NOT_COMMERCIAL,Elenpriv Knitted Mohair Pullover,COMMERCIAL
103,COMMERCIAL,COMMERCIAL,25,NOT_COMMERCIAL,Eurotex Аквалазурь,NOT_COMMERCIAL
104,COMMERCIAL,COMMERCIAL,163,NOT_COMMERCIAL,FOOFOO коричневая,COMMERCIAL
105,NOT_COMMERCIAL,COMMERCIAL,10,COMMERCIAL,Fig man Carner Barcelona,NOT_COMMERCIAL
106,COMMERCIAL,COMMERCIAL,20,NOT_COMMERCIAL,Foo Foo коляски черная,COMMERCIAL
107,COMMERCIAL,COMMERCIAL,10,NOT_COMMERCIAL,Ftxs50k,COMMERCIAL
108,COMMERCIAL,COMMERCIAL,30,COMMERCIAL,Fujifilm x-t30,COMMERCIAL
109,COMMERCIAL,COMMERCIAL,455,NOT_COMMERCIAL,Fuzzy Pink Sweater,COMMERCIAL
110,COMMERCIAL,COMMERCIAL,20,NOT_COMMERCIAL,GN- b222sbbb,COMMERCIAL
111,COMMERCIAL,COMMERCIAL,31,NOT_COMMERCIAL,GN-b222sqbb,NOT_COMMERCIAL
112,COMMERCIAL,COMMERCIAL,10,NOT_COMMERCIAL,GPON SFP трансивер,COMMERCIAL
113,COMMERCIAL,COMMERCIAL,10,NOT_COMMERCIAL,GTX 1050 ti vs GTX 1050,COMMERCIAL
114,COMMERCIAL,COMMERCIAL,5,COMMERCIAL,Galaxy Tab 2 10.1,COMMERCIAL
115,COMMERCIAL,COMMERCIAL,10,COMMERCIAL,Galaxy s7,COMMERCIAL
116,COMMERCIAL,COMMERCIAL,17,NOT_COMMERCIAL,Galaxy s9 Plus,NOT_COMMERCIAL
117,COMMERCIAL,COMMERCIAL,25,NOT_COMMERCIAL,Gamepad f310,COMMERCIAL
118,COMMERCIAL,COMMERCIAL,10,NOT_COMMERCIAL,Gigabyte RX 580 8gb,COMMERCIAL
119,COMMERCIAL,COMMERCIAL,15,NOT_COMMERCIAL,Globen настенная карта мир политический,COMMERCIAL
120,COMMERCIAL,COMMERCIAL,160,NOT_COMMERCIAL,Gt 7100 видеокарта,NOT_COMMERCIAL
121,COMMERCIAL,COMMERCIAL,10,COMMERCIAL,HTC телефон Desire 728,COMMERCIAL
122,COMMERCIAL,COMMERCIAL,40,COMMERCIAL,Hammer Titanium Беговая дорожка,COMMERCIAL
123,COMMERCIAL,COMMERCIAL,30,COMMERCIAL,Highscreen Five EVO,COMMERCIAL
124,COMMERCIAL,COMMERCIAL,30,COMMERCIAL,Honor 10 Lite,COMMERCIAL
125,COMMERCIAL,COMMERCIAL,20,COMMERCIAL,Honor 10 Lite Blue,COMMERCIAL
126,COMMERCIAL,COMMERCIAL,15,COMMERCIAL,Honor 20 Lite черный,COMMERCIAL
127,COMMERCIAL,COMMERCIAL,25,COMMERCIAL,Honor 8x Black,COMMERCIAL
128,COMMERCIAL,COMMERCIAL,5,COMMERCIAL,Honor 8x красный,COMMERCIAL
129,COMMERCIAL,COMMERCIAL,15,COMMERCIAL,Honor 8х,COMMERCIAL
130,COMMERCIAL,COMMERCIAL,5,COMMERCIAL,Honor 9 Lite 32gb,COMMERCIAL
131,COMMERCIAL,COMMERCIAL,20,NOT_COMMERCIAL,Honor 9 Lite Black,COMMERCIAL
132,COMMERCIAL,COMMERCIAL,5,NOT_COMMERCIAL,Honor 9 Lite Blue,COMMERCIAL
133,COMMERCIAL,COMMERCIAL,40,NOT_COMMERCIAL,Honor 9 Lite черный,COMMERCIAL
134,COMMERCIAL,COMMERCIAL,15,NOT_COMMERCIAL,Huawei 20 Pro,COMMERCIAL
135,COMMERCIAL,COMMERCIAL,21,NOT_COMMERCIAL,Huawei Honor 7a Pro,COMMERCIAL
136,COMMERCIAL,COMMERCIAL,15,COMMERCIAL,Huawei Mate 20 6/128gb,COMMERCIAL
137,COMMERCIAL,COMMERCIAL,20,COMMERCIAL,Huawei Mate 20 6/128gb Midnight Blue,COMMERCIAL
138,COMMERCIAL,COMMERCIAL,5,COMMERCIAL,Huawei Mate 20 Lite 64gb,COMMERCIAL
139,COMMERCIAL,COMMERCIAL,5,NOT_COMMERCIAL,Huawei Mate 20 Pro зеленый,COMMERCIAL
140,COMMERCIAL,COMMERCIAL,25,NOT_COMMERCIAL,Huawei Mate 20 Pro изумрудно-зеленый,COMMERCIAL
141,COMMERCIAL,COMMERCIAL,25,COMMERCIAL,Huawei p Smart z 4/64gb,COMMERCIAL
142,COMMERCIAL,COMMERCIAL,10,COMMERCIAL,Huawei p20 Lite,COMMERCIAL
143,COMMERCIAL,COMMERCIAL,14,NOT_COMMERCIAL,Huawei p20 Lite синий,COMMERCIAL
144,COMMERCIAL,COMMERCIAL,15,NOT_COMMERCIAL,Huawei p20 Pro,COMMERCIAL
145,COMMERCIAL,COMMERCIAL,16,NOT_COMMERCIAL,Huawei p20 Pro Twilight,COMMERCIAL
146,COMMERCIAL,COMMERCIAL,15,NOT_COMMERCIAL,Huawei p9 Lite,COMMERCIAL
147,COMMERCIAL,COMMERCIAL,15,COMMERCIAL,Huawei y6 SCL,COMMERCIAL
148,COMMERCIAL,COMMERCIAL,18,NOT_COMMERCIAL,Huawei y6 SCL u21,COMMERCIAL
149,COMMERCIAL,COMMERCIAL,432,NOT_COMMERCIAL,Huawei y6 SCL-l21,COMMERCIAL
150,COMMERCIAL,COMMERCIAL,10,COMMERCIAL,Huawei y80p,COMMERCIAL
151,COMMERCIAL,COMMERCIAL,125,NOT_COMMERCIAL,Huawei с круглой камерой,COMMERCIAL
152,COMMERCIAL,COMMERCIAL,5,COMMERCIAL,ITX корпус,COMMERCIAL
153,NOT_COMMERCIAL,COMMERCIAL,15,COMMERCIAL,In Mohair,NOT_COMMERCIAL
154,COMMERCIAL,COMMERCIAL,10,NOT_COMMERCIAL,Inakustik Premium HDTV Antenna,COMMERCIAL
155,COMMERCIAL,COMMERCIAL,5,COMMERCIAL,Iphone 7 32gb,COMMERCIAL
156,COMMERCIAL,COMMERCIAL,29,NOT_COMMERCIAL,Iphone 7 Plus 32 ГБ,COMMERCIAL
157,COMMERCIAL,COMMERCIAL,20,NOT_COMMERCIAL,Iphone 7 золотой,COMMERCIAL
158,COMMERCIAL,COMMERCIAL,10,NOT_COMMERCIAL,Iphone XS Max Silver,COMMERCIAL
159,COMMERCIAL,COMMERCIAL,10,NOT_COMMERCIAL,Iphone x 64gb,COMMERCIAL
160,COMMERCIAL,COMMERCIAL,15,COMMERCIAL,JBL 460bt,COMMERCIAL
161,COMMERCIAL,COMMERCIAL,15,COMMERCIAL,JBL Harman наушники,COMMERCIAL
162,COMMERCIAL,COMMERCIAL,10,COMMERCIAL,JBL Wireless наушники,COMMERCIAL
163,COMMERCIAL,COMMERCIAL,5,COMMERCIAL,JBL t450 White,COMMERCIAL
164,COMMERCIAL,COMMERCIAL,10,COMMERCIAL,JBL t450 белые,COMMERCIAL
165,COMMERCIAL,COMMERCIAL,85,NOT_COMMERCIAL,JBL t450bt белые,COMMERCIAL
166,COMMERCIAL,COMMERCIAL,15,NOT_COMMERCIAL,Kiko Explorer,COMMERCIAL
167,COMMERCIAL,COMMERCIAL,5,NOT_COMMERCIAL,Kipor Silent Generator,COMMERCIAL
168,COMMERCIAL,COMMERCIAL,15,NOT_COMMERCIAL,Krups Nescafe Dolce gusto piccolo kp100b10,COMMERCIAL
169,COMMERCIAL,COMMERCIAL,5,COMMERCIAL,LEGO City город,COMMERCIAL
170,COMMERCIAL,COMMERCIAL,10,COMMERCIAL,LEGO Minecraft наборы,COMMERCIAL
171,COMMERCIAL,COMMERCIAL,5,NOT_COMMERCIAL,LEGO город,COMMERCIAL
172,COMMERCIAL,COMMERCIAL,10,NOT_COMMERCIAL,LG b07ts,COMMERCIAL
173,COMMERCIAL,COMMERCIAL,15,NOT_COMMERCIAL,LG fh2h3wd4,COMMERCIAL
174,COMMERCIAL,COMMERCIAL,189,NOT_COMMERCIAL,LG washing Machine,COMMERCIAL
175,COMMERCIAL,COMMERCIAL,20,NOT_COMMERCIAL,Lapbook,COMMERCIAL
176,COMMERCIAL,COMMERCIAL,15,NOT_COMMERCIAL,Lays сметана и лук,COMMERCIAL
177,COMMERCIAL,COMMERCIAL,94,NOT_COMMERCIAL,Lazio мебель,COMMERCIAL
178,COMMERCIAL,COMMERCIAL,15,NOT_COMMERCIAL,Led DRL Audi a6 c6,NOT_COMMERCIAL
179,COMMERCIAL,COMMERCIAL,5,NOT_COMMERCIAL,Lenovo a536 4pda,COMMERCIAL
180,COMMERCIAL,COMMERCIAL,5,NOT_COMMERCIAL,Lenovo a536 цена,COMMERCIAL
181,COMMERCIAL,COMMERCIAL,15,NOT_COMMERCIAL,Leo Baby коляска люлька,COMMERCIAL
182,COMMERCIAL,COMMERCIAL,32,NOT_COMMERCIAL,Little Doctor LD-80,COMMERCIAL
183,COMMERCIAL,COMMERCIAL,15,NOT_COMMERCIAL,Loft Chandelier,NOT_COMMERCIAL
184,COMMERCIAL,COMMERCIAL,30,NOT_COMMERCIAL,Lussole Loft,NOT_COMMERCIAL
185,COMMERCIAL,COMMERCIAL,15,NOT_COMMERCIAL,MBT лазер аппарат лазерной эпиляции,COMMERCIAL
186,COMMERCIAL,COMMERCIAL,10,NOT_COMMERCIAL,Make up for ever artist face Color Refil blush румяна b302,COMMERCIAL
187,COMMERCIAL,COMMERCIAL,594,NOT_COMMERCIAL,Make up for ever artist face Color blush b304,COMMERCIAL
188,COMMERCIAL,COMMERCIAL,26,NOT_COMMERCIAL,Makita b-30754,COMMERCIAL
189,COMMERCIAL,COMMERCIAL,40,NOT_COMMERCIAL,Mate 30 Pro,COMMERCIAL
190,NOT_COMMERCIAL,COMMERCIAL,30,COMMERCIAL,Mattel мир Юрского периода Барионикс,COMMERCIAL
191,COMMERCIAL,COMMERCIAL,420,NOT_COMMERCIAL,Megane 2 рейлинги,COMMERCIAL
192,COMMERCIAL,COMMERCIAL,10,COMMERCIAL,Meizu u10 белый,COMMERCIAL
193,COMMERCIAL,COMMERCIAL,184,NOT_COMMERCIAL,Meizu u10 золотой,COMMERCIAL
194,COMMERCIAL,COMMERCIAL,5,COMMERCIAL,Meizu u20 White,COMMERCIAL
195,NOT_COMMERCIAL,COMMERCIAL,20,COMMERCIAL,Mek спецназ,NOT_COMMERCIAL
196,COMMERCIAL,COMMERCIAL,1215,NOT_COMMERCIAL,Merries l 9-14 кг трусы,NOT_COMMERCIAL
197,COMMERCIAL,COMMERCIAL,152,NOT_COMMERCIAL,Merries подгузники s (4-8 кг) 82 шт.,COMMERCIAL
198,COMMERCIAL,COMMERCIAL,10,COMMERCIAL,Mi Bluetooth Headset Basic Youth Global Black,COMMERCIAL
199,COMMERCIAL,COMMERCIAL,30,NOT_COMMERCIAL,Mi Mix 2s белый,COMMERCIAL
200,COMMERCIAL,COMMERCIAL,15,COMMERCIAL,Mi Redmi Note 7,COMMERCIAL
201,COMMERCIAL,COMMERCIAL,10,NOT_COMMERCIAL,Miditower Deepcool Tesseract bf usb3 Black,COMMERCIAL
202,COMMERCIAL,COMMERCIAL,171,NOT_COMMERCIAL,Mini ITX Case,NOT_COMMERCIAL
203,COMMERCIAL,COMMERCIAL,10,NOT_COMMERCIAL,Mini корпус,COMMERCIAL
204,COMMERCIAL,COMMERCIAL,15,COMMERCIAL,Mobicool сумка-холодильник Sail,COMMERCIAL
205,COMMERCIAL,COMMERCIAL,10,NOT_COMMERCIAL,Nescafe Dolce gusto Krups,COMMERCIAL
206,COMMERCIAL,COMMERCIAL,15,NOT_COMMERCIAL,Nike Air Huarache Run,COMMERCIAL
207,COMMERCIAL,COMMERCIAL,15,COMMERCIAL,Nike Running красные,COMMERCIAL
208,COMMERCIAL,COMMERCIAL,15,COMMERCIAL,Nike Running кроссовки,COMMERCIAL
209,COMMERCIAL,COMMERCIAL,15,NOT_COMMERCIAL,Nubia Alpha,COMMERCIAL
210,COMMERCIAL,COMMERCIAL,10,NOT_COMMERCIAL,Orliman бандаж на голеностоп,COMMERCIAL
211,COMMERCIAL,COMMERCIAL,259,NOT_COMMERCIAL,Orliman голеностопный,NOT_COMMERCIAL
212,COMMERCIAL,COMMERCIAL,10,NOT_COMMERCIAL,P Smart,COMMERCIAL
213,COMMERCIAL,COMMERCIAL,20,COMMERCIAL,Pandora украшения,COMMERCIAL
214,COMMERCIAL,COMMERCIAL,148,NOT_COMMERCIAL,Paola Reina Carla,COMMERCIAL
215,NOT_COMMERCIAL,COMMERCIAL,10,COMMERCIAL,Paola Reina Карла,NOT_COMMERCIAL
216,COMMERCIAL,COMMERCIAL,572,NOT_COMMERCIAL,Pink Fuzzy Sweaters,NOT_COMMERCIAL
217,NOT_COMMERCIAL,COMMERCIAL,20,COMMERCIAL,RAL 8019 И RAL 8017,COMMERCIAL
218,COMMERCIAL,COMMERCIAL,25,NOT_COMMERCIAL,RC-110a-kkn1,COMMERCIAL
219,NOT_COMMERCIAL,COMMERCIAL,15,COMMERCIAL,RX 470 vs GTX 1050,COMMERCIAL
220,COMMERCIAL,COMMERCIAL,5,NOT_COMMERCIAL,RX 580 8gb Sapphire Nitro+,COMMERCIAL
221,NOT_COMMERCIAL,COMMERCIAL,5,COMMERCIAL,Radeon r9 290x,NOT_COMMERCIAL
222,COMMERCIAL,COMMERCIAL,10,COMMERCIAL,Redmi Note 8 Pro,COMMERCIAL
223,COMMERCIAL,COMMERCIAL,15,NOT_COMMERCIAL,SIM Air кондиционер,NOT_COMMERCIAL
224,COMMERCIAL,COMMERCIAL,20,NOT_COMMERCIAL,SVS Prime Tower Speaker,COMMERCIAL
225,COMMERCIAL,COMMERCIAL,5,COMMERCIAL,Samsung Galaxy 1,COMMERCIAL
226,COMMERCIAL,COMMERCIAL,25,NOT_COMMERCIAL,Samsung Galaxy 10+,COMMERCIAL
227,COMMERCIAL,COMMERCIAL,781,NOT_COMMERCIAL,Samsung Galaxy Note 3 9005,COMMERCIAL
228,COMMERCIAL,COMMERCIAL,15,COMMERCIAL,Samsung Galaxy Tab 10.2,COMMERCIAL
229,COMMERCIAL,COMMERCIAL,10,COMMERCIAL,Samsung Galaxy a8 синий,COMMERCIAL
230,COMMERCIAL,COMMERCIAL,15,NOT_COMMERCIAL,Samsung Galaxy s6 Edge Plus золотой чехол,COMMERCIAL
231,COMMERCIAL,COMMERCIAL,10,COMMERCIAL,Samsung Galaxy s8+,COMMERCIAL
232,COMMERCIAL,COMMERCIAL,5,COMMERCIAL,Samsung Galaxy s9+,COMMERCIAL
233,COMMERCIAL,COMMERCIAL,10,COMMERCIAL,Samsung Galaxy s9+ 64gb,COMMERCIAL
234,COMMERCIAL,COMMERCIAL,181,NOT_COMMERCIAL,Samsung Note 3 n9005,COMMERCIAL
235,COMMERCIAL,COMMERCIAL,5,COMMERCIAL,Samsung SM-g935f,COMMERCIAL
236,COMMERCIAL,COMMERCIAL,286,NOT_COMMERCIAL,Samsung SM-g935fd,COMMERCIAL
237,COMMERCIAL,COMMERCIAL,10,NOT_COMMERCIAL,Samsung SM-j320f,NOT_COMMERCIAL
238,COMMERCIAL,COMMERCIAL,15,COMMERCIAL,Samsung Tab 10,COMMERCIAL
239,COMMERCIAL,COMMERCIAL,10,NOT_COMMERCIAL,"Samsung c24f390fhi 23.5""",COMMERCIAL
240,COMMERCIAL,COMMERCIAL,15,COMMERCIAL,Samsung j1,COMMERCIAL
241,COMMERCIAL,COMMERCIAL,15,COMMERCIAL,Samsung s3,COMMERCIAL
242,COMMERCIAL,COMMERCIAL,12,NOT_COMMERCIAL,Samsung s8,COMMERCIAL
243,NOT_COMMERCIAL,COMMERCIAL,244,COMMERCIAL,Sobranie Black,COMMERCIAL
244,COMMERCIAL,COMMERCIAL,10,NOT_COMMERCIAL,Sony Alpha 6000,COMMERCIAL
245,COMMERCIAL,COMMERCIAL,17,NOT_COMMERCIAL,Sony Alpha a6000 Kit,COMMERCIAL
246,COMMERCIAL,COMMERCIAL,25,NOT_COMMERCIAL,Sony a6000,COMMERCIAL
247,COMMERCIAL,COMMERCIAL,10,COMMERCIAL,Sony a7s USB,COMMERCIAL
248,COMMERCIAL,COMMERCIAL,10,NOT_COMMERCIAL,Spy Lemon Premium Cooler Bottle,COMMERCIAL
249,COMMERCIAL,COMMERCIAL,15,NOT_COMMERCIAL,Sr1101l штиль,NOT_COMMERCIAL
